Author_Name,Role,AID
Amina Souag,First,1136
Jane Hayes,First,1137
Shinobu Saito,First,1138
Andreas Maier,First,1139
Zijad Kurtanović,First,1140
Bastian Tenbergen,First,1141
Jingdong Jia,First,1142
Chi Mai Nguyen,First,1143
Mohamad Gharib,First,1144
Mahmood Hosseini,First,1145
Negin Misaghian,First,1146
Eric Knauss,First,1147
Eissa Alreshidi,First,1148
Grischa Liebel,First,1149
Diego Firmenich,First,1150
Talat Ambreen,First,1151
Jane Huffman Hayes,First,1152
Petra Heck,First,1153
Julia Klier,First,1154
Richard Berntsson Svensson,First,1155
Atif Mashkoor,First,1156
Rahul Thakurta,First,1157
Ricardo Eito-Brun,First,1158
Sarah C. Gregory,First,1159
Charu Khatwani,First,1160
Emitza Guzman,First,1161
Parisa Ghazi,First,1162
Garm Lucassen,First,1163
Naveed Ali,First,1164
Richard Ellis-Braithwaite,First,1165
Nicolas Sannier,First,1166
Fernando Asteasuain,First,1167
Jo Erskine Hannay,First,1168
Mirko Morandini,First,1169
Mohamed Amine Beghoura,First,1170
Olesia Oliinyk,First,1171
Robert Andrei Buchmann,First,1172
Elizabeth Bjarnason,First,1173
Luis Valente,First,1174
Liliana Pasquale,First,1175
Samuel A. Fricker,First,1176
Diego Dermeval,First,1177
Isabel M. del Águila,First,1178
John L. Dargan,First,1179
Luz María Priego-Roche,First,1180
Hans Heerkens,First,1181
Didar Zowghi,First,1182
Walid Maalej,First,1183
Anas Mahmoud,First,1184
Shamal Faily,First,1185
Eduardo B. Fernandez,First,1186
Ahmet Serkan Karataş,First,1187
Junjie Wang,First,1188
Rachida Djouab,First,1189
Mohamed El-Attar,First,1190
Jennifer Baldwin,First,1191
Abraham Nieva de la Hidalga,First,1192
Kathrin Figl,First,1193
Daniel Méndez Fernández,First,1194
Lassaad Ben Ammar,First,1195
Donia El Kateb,First,1196
Lili Yang,First,1197
Andy Ridge,First,1198
Robyn R. Lutz,First,1199
Chung-Horng Lung,First,1200
Piotr Pruski,First,1201
Wenyi Qian,First,1202
Jessica Díaz,First,1203
Tanmay Bhowmik,First,1204
Riccardo Scandariato,First,1205
Leandro Antonelli,First,1206
Sofia Ouhbi,First,1207
Mikael Svahnberg,First,1208
Marko Komssi,First,1209
Nicola Zeni,First,1210
Jelena Zdravkovic,First,1211
Leah Goldin,First,1212
Emilio Insfran,First,1213
Jaejoon Lee,First,1214
Mauricio Alférez,First,1215
K. Olmos,First,1216
Mahdi Derakhshanmanesh,First,1217
Zhi Li,First,1218
Orlena Gotel,First,1219
Travis D. Breaux,First,1220
Carlo Ghezzi,First,1221
Sandeep Reddivari,First,1222
Irit Hadar,First,1223
Ebrahim Bagheri,First,1224
Petros Belsis,First,1225
Marina Berkovich,First,1226
Andreas Lanz,First,1227
JungWon Byun,First,1228
Ehsan Gooraki,First,1229
Michael Jackson,First,1230
William Brace,First,1231
Polinpapilinho F. Katina,First,1232
Michal Dahan,First,1233
Kristian Beckers,First,1234
Stefanos Gritzalis,First,1235
Francisco Moyano,First,1236
Christos Kalloniatis,First,1237
Paul Ralph,First,1238
Husam Suleiman,First,1239
Narasimhaiah Gorla,First,1240
Keith Ellis,First,1241
Pete Sawyer,First,1242
Rick Salay,First,1243
David G. Gordon,First,1244
Antoine Cailliau,First,1245
Joel Greenyer,First,1246
Alejandro Rago,First,1247
Seda Gürses,First,1248
Gonzalo Génova,First,1249
Rafael Capilla,First,1250
Philip Lew,First,1251
João Pimentel,First,1252
Victoria Sakhnini,First,1253
Gyda Atladottir,First,1254
V. Pijpers,First,1255
James Lockerbie,First,1256
Patrick Heymans,First,1257
Sharon McGee,First,1258
Alastair Milne,First,1259
Jeremy C. Maxwell,First,1260
Camilo Fitzgerald,First,1261
Daniel M. Berry,First,1262
Soren Lauesen,First,1263
Kurt Schneider,First,1264
Amalinda Post,First,1265
Ernst Sikora,First,1266
Esteban Robles Luna,First,1267
Kristina Pitula,First,1268
Luciana C. Ballejos,First,1269
Jane Cleland-Huang,First,1270
Sotirios Liaskos,First,1271
Hui Yang,First,1272
Hakim Sultanov,First,1273
Ricardo Gacitua,First,1274
Eran Rubin,First,1275
Yudistira Asnar,First,1276
Tao Yue,First,1277
Paulo F. Pires,First,1278
Annie I. Anton,First,1279
Eleni Kosta,First,1280
José Luis Vivas,First,1281
Jessica D. Young,First,1282
Mina Deng,First,1283
Israel Navarro,First,1284
Christian Wolter,First,1285
Raian Ali,First,1286
Gabriela N. Aranda,First,1287
Chen Li,First,1288
Hermann Kaindl,First,1289
Senthil Karthikeyan Sundaram,First,1290
Rubén Fuentes-Fernández,First,1291
Jim Mc Elroy,First,1292
Kevin Ryan,First,1293
Remo Ferrari,First,1294
Jon Whittle,First,1295
Shahram Esmaeilsabzali,First,1296
Gunter Mussbacher,First,1297
Daniel L. Moody,First,1298
Eric Dubois,First,1299
Siv Hilde Houmb,First,1300
Benjamin Fabian,First,1301
Aaron K. Massey,First,1302
Golnaz Elahi,First,1303
Igor Siveroni,First,1304
Tetsuo Tamai,First,1305
Nathan Weston,First,1306
Gil Regev,First,1307
Anthony Finkelstein,First,1308
Martin Ivarsson,First,1309
Sase Narine Singh,First,1310
Jorge García-Duque,First,1311
Lia Patrício,First,1312
Norbert Seyff,First,1313
Laura Lehtola,First,1314
Chuan Duan,First,1315
John Mathenge Kanyaru,First,1316
Volha Bryl,First,1317
Keng Siau,First,1318
Joaquín Nicolás,First,1319
David Sellier,First,1320
Chris Hinds,First,1321
Beatrice Alenljung,First,1322
Nadzeya Kiyavitskaya,First,1323
Ana Belén Barragáns Martínez,First,1324
Joerg Evermann,First,1325
Li Jiang,First,1326
Ivan J. Jureta,First,1327
Abdallah Mohamed,First,1328
Andrea Herrmann,First,1329
Naveen Prakash,First,1330
Vassilis Agouridas,First,1331
Farid Meziane,First,1332
Davor Svetinovic,First,1333
Qusay H. Mahmoud,First,1334
Dinesh Batra,First,1335
Michael Lang,First,1336
Younes Benslimane,First,1337
Emila Sadraei,First,1338
Tony Gorschek,First,1339
Jason Rubens,First,1340
Martin Glinz,First,1341
Robert Seater,First,1342
Mark-Oliver Reiser,First,1343
Rosario Girardi,First,1344
Robyn Lutz,First,1345
Sebastian Garde,First,1346
R. J. Wieringa,First,1347
Lily Sun,First,1348
Joanne M. Atlee,First,1349
Mehrdad Sabetzadeh,First,1350
Maya Daneva,First,1351
Neil Maiden,First,1352
Søren Lauesen,First,1353
Charles B. Haley,First,1354
Sebastian Uchitel,First,1355
Alan M. Davis,First,1356
Roel Wieringa,First,1357
Steven J. Bleistein,First,1358
Artem Katasonov,First,1359
William N. Robinson,First,1360
Isabelle Mirbel,First,1361
Björn Regnell,First,1362
Ian Alexander,First,1363
Luisa Mich,First,1364
Haruhiko Kaiya,First,1365
Isabel Ramos,First,1366
Jan L. G. Dietz,First,1367
Anne Etien,First,1368
Nikolaus Kleiner,First,1369
W. M. P. van der Aalst,First,1370
Balasubramaniam Ramesh,First,1371
Peter Merrick,First,1372
Michael Breen,First,1373
Jae Eun Shin,First,1374
Karin Koogan Breitman,First,1375
Hossein Saiedian,First,1376
Andreas Gregoriades,First,1377
James D. Arthur,First,1378
Julio Cesar Sampaio do Prado Leite,First,1379
Guttorm Sindre,First,1380
Peretz Shoval,First,1381
Andrew Gemino,First,1382
Akhilesh Bajaj,First,1383
Joonhee Yoo,First,1384
Enzo Colombo,First,1385
Katrina Hands,First,1386
Annie I. Antón,First,1387
Davide Bolchini,First,1388
C. S. Shih,First,1389
Renaud De Landtsheer,First,1390
Ariel Fuxman,First,1391
Colette Rolland,First,1392
Paolo Donzelli,First,1393
Mich Luisa,First,1394
Devendra Fakun,First,1395
Tim Menzies,First,1396
Christopher P. Fuhrman,First,1397
Michael Halling,First,1398
Debbie Richards,First,1399
K. Suzanne Barber,First,1400
Martin S. Feather,First,1401
R. Banach,First,1402
Francisco A. C. Pinheiro,First,1403
Daniela E. Damian,First,1404
Ben Kovitz,First,1405
Jaap Gordijn,First,1406
David Lowe,First,1407
Andreas S. Andreou,First,1408
C.S. Notarmarco,First,1409
J. Torres,First,1410
Babak Khazaei,First,1411
Bashar Nuseibeh,First,1412
Pericles Loucopoulos,First,1413
Jeffrey M. Thompson,First,1414
Günter Gans,First,1415
Steve Easterbrook,First,1416
Darrell Raymond,First,1417
Guy Helmer,First,1418
Laura A. Campbell,First,1419
Yunja Choi,First,1420
Cynthia E. Irvine,First,1421
Rik Eshuis,First,1422
Ray Offen,First,1423
Pär Carlshamre,First,1424
Mark Bergman,First,1425
Bill Karakostas,First,1426
Fabio Casati,First,1427
Jane Coughlan,First,1428
E. Insfrán,First,1429
Camille Ben Achour-Salinesi,First,1430
Johan Natt och Dag,First,1431
Allen H. Dutoit,First,1432
Andreas Homrighausen,First,1433
Ambrosio Toval,First,1434
Evangelia Kavakli,First,1435
Douglas Havelka,First,1436
 ,First,1437
Haim Kilov,First,1438
Daya Gupta,First,1439
Colin J. Burgess,First,1440
Pnina Soffer,First,1441
Zheying Zhang,First,1442
Luiz Marcio Cysneiros,First,1443
Aldo de Moor,First,1444
Klaus Pohl,First,1445
Daniel Gross,First,1446
Georg Kösters,First,1447
Andrew Gabb,First,1448
A. Ravid,First,1449
Mats P. E. Heimdahl,First,1450
Edward R. Sim,First,1451
A. Daugulis,First,1452
Ivy Hooks,First,1453
P. Chountas,First,1454
Lilia Gzara,First,1455
James Robertson,First,1456
Nandish V. Patel,First,1457
Christopher J. Atkinson,First,1458
R. D. Galliers,First,1459
David C. Sutton,First,1460
W. Al-Karaghouli,First,1461
J. M. Coakes,First,1462
Enid Mumford,First,1463
S. P. Overmyer,First,1464
Nikos Prekas,First,1465
Hong Zhu,First,1466
Ian  Alexander,First,1467
Karel Lemmen,First,1468
Walter Hussak,First,1469
Pedro Sánchez,First,1470
G. H. Galal,First,1471
G. Kotonya,First,1472
Ray J. Paul,First,1473
S. K. Probert,First,1474
N. V. Patel,First,1475
R. Juric,First,1476
C. Cherry,First,1477
R. Wood,First,1478
Albert Alderson,First,1479
Linda A. Macaulay,First,1480
Scott P. Overmyer,First,1481
A. Isazadeh,First,1482
Jim Arlow,First,1483
Wolfgang Emmerich,First,1484
Michael A. Jackson,First,1485
Erik Kamsties,First,1486
Ljerka Beus-Dukic,First,1487
Stephen Armitage,First,1488
Yiannis Papadopoulos,First,1489
Philip Morris,First,1490
David P. Kirkman,First,1491
Ralf Melchisedech,First,1492
Isabel Santos,First,1493
M. Bouzeghoub,First,1494
Tom Docker,First,1495
Despina Filippidou,First,1496
Matthias Jarke,First,1497
Jean-Charles Pomerol,First,1498
M. D. Feblowitz,First,1499
W. J. Black,First,1500
David Corrall,First,1501
Philippe Du Bois,First,1502
S. R. Smith,First,1503
T. Gilb,First,1504
K. J. Turner,First,1505
G. Grosz,First,1506
E. Kantorowitz,First,1507
John Mylopoulos,First,1508
B. Dano,First,1509
F. Modugno,First,1510
Pamela Zave,First,1511
Richard Stevens,First,1512
C. J. Atkinson,First,1513
Joachim Karlsson,First,1514
Richard Veryard,First,1515
W. Hussak,First,1516
Lawrence Chung,First,1517
John Krogstie,First,1518
Laurence James,First,1519
Ch. Kohring,First,1520
Geoff Mullery,First,1521
Peta Darke,First,1522
Prodromos D. Chatzoglou,First,1523
Jonathan Moffett,First,1524
Khaled El Emam,First,1525
C. Batini,First,1526
Nadeen AlAmoudi,First,1527
Muhammad Aminu Umar,First,1528
Pedro Teixeira,First,1529
 K. Kuznetsov,Second,1530
 V. Kaulagi,Second,1531
 B. Zhang,Second,1532
 M. Rukavitsyna,Second,1533
 S. Abualhaija,Second,1534
 K. Lima,Second,1535
 L. Nagel,Second,1536
 M. Amor,Second,1537
 N. Deb,Second,1538
 Z. S. Li,Second,1539
 E. Tempero,Second,1540
 N. Niu,Second,1541
 I. Foster,Second,1542
 F. Lepore,Second,1543
 P. R. Anish,Second,1544
 P. Nistala,Second,1545
 O. Klemp,Second,1546
 M. Abbas,Second,1547
 H. Kausch,Second,1548
 T. Cebulla,Second,1549
 C. Mayr-Dorn,Second,1550
 R. R. Lutz,Second,1551
 M. Beck,Second,1552
 I. Groher,Second,1553
 A. -L. Courbis,Second,1554
 J. Nabrzyski,Second,1555
 C. Silva,Second,1556
 C. Arora,Second,1557
 J. Shi,Second,1558
 D. Amyot,Second,1559
 X. Zhang,Second,1560
 J. Araújo,Second,1561
 S. Gnesi,Second,1562
 C. Criscuolo,Second,1563
 E. Knauss,Second,1564
 L. Liu,Second,1565
 Z. Li,Second,1566
 H. Xiao,Second,1567
 D. Kim,Second,1568
 S. Tiwari,Second,1569
 E. Anichini,Second,1570
 K. Großer,Second,1571
 C. Werner,Second,1572
 A. Jain,Second,1573
 T. Pietz,Second,1574
 S. Chen,Second,1575
 M. Rahimi,Second,1576
 M. Ahrens,Second,1577
 X. -Y. Zhang,Second,1578
 T. Norton,Second,1579
 E. Letier,Second,1580
 M. Sihag,Second,1581
 V. Klös,Second,1582
 Y. Ma,Second,1583
 A. Kaufmann,Second,1584
 P. Sawyer,Second,1585
 J. Tizard,Second,1586
 L. Medeiros,Second,1587
 S. Subramanian,Second,1588
 G. B. Neto,Second,1589
 T. Li,Second,1590
 Y. Wang,Second,1591
 P. Shah,Second,1592
 G. Quirchmayr,Second,1593
 M. Hekmatnejad,Second,1594
 N. Condori-Fernandez,Second,1595
 F. Fotrousi,Second,1596
 L. Montgomery,Second,1597
 F. Dalpiaz,Second,1598
 K. Tei,Second,1599
 L. M. Cysneiros,Second,1600
 L. Zhao,Second,1601
 M. Bano,Second,1602
 J. Horkoff,Second,1603
 L. Zhang,Second,1604
 K. Villela,Second,1605
 A. Massey,Second,1606
 A. Toffano Seidel Calazans,Second,1607
 J. Heaps,Second,1608
 R. Heckel,Second,1609
 A. Bouraffa,Second,1610
 M. Khan,Second,1611
 A. Irfan,Second,1612
 J. Tamanini,Second,1613
 G. Mussbacher,Second,1614
 B. Koopmann,Second,1615
 W. Brunotte,Second,1616
 R. Pereira,Second,1617
 E. Guzman,Second,1618
 P. Spoletini,Second,1619
 P. Rathod,Second,1620
 A. M. Grubb,Second,1621
 A. Albrecht,Second,1622
 D. F. Edvardsen,Second,1623
 S. Fricker,Second,1624
 T. Puhlfürß,Second,1625
 R. Janssen,Second,1626
 A. Ahmed,Second,1627
 J. E. Hachem,Second,1628
 M. Aoyama,Second,1629
 D. Truscan,Second,1630
 M. Pauzner,Second,1631
 S. Liaskos,Second,1632
 S. Hauser,Second,1633
 A. Perini,Second,1634
 A. Henriksson,Second,1635
 T. Bhowmik,Second,1636
 T. Kehrer,Second,1637
 X. Chen,Second,1638
 A. Zaki-Ismail,Second,1639
 T. Alsanoosy,Second,1640
 I. Omoronyia,Second,1641
 V. Sridhar,Second,1642
 C. A. Öz,Second,1643
 S. -H. Park,Second,1644
 M. Osama,Second,1645
 J. Cao,Second,1646
 N. Bencomo,Second,1647
 D. Solanki,Second,1648
 Y. Wautelet,Second,1649
 S. Brinkkemper,Second,1650
 S. -W. Lee,Second,1651
 M. Mannion,Second,1652
 J. -M. Bruel,Second,1653
 W. Hussain,Second,1654
 J. Araujo,Second,1655
 J. -P. Steghöfer,Second,1656
 A. Vogelsang,Second,1657
 A. Ferrari,Second,1658
 T. Rietz,Second,1659
 M. Haering,Second,1660
 Q. Motger,Second,1661
 R. M. C. Andrade,Second,1662
 A. Bennaceur,Second,1663
 M. Ceci,Second,1664
 J. Keim,Second,1665
 L. Shi,Second,1666
 F. Ebrahimi,Second,1667
 D. Zowghi,Second,1668
 C. Bird,Second,1669
 A. Riel,Second,1670
 D. Kravchenko,Second,1671
 K. Ohashi,Second,1672
 G. Lami,Second,1673
 A. Garciandia,Second,1674
 H. Bourbouh,Second,1675
 J. Cunha,Second,1676
 J. Lin,Second,1677
 Y. Matsuno,Second,1678
 A. Parvizimosaed,Second,1679
 B. da Silva,Second,1680
 P. J. Bentley,Second,1681
 F. B. Aydemir,Second,1682
 B. Hauptmann,Second,1683
 M. Spichkova,Second,1684
 M. Ruiz,Second,1685
 S. S. Rathore,Second,1686
 L. Eswarachary,Second,1687
 S. Betz,Second,1688
 H. Wang,Second,1689
 J. Grönberg,Second,1690
 Y. Xie,Second,1691
 S. R. Chekuri,Second,1692
 A. Anderlin Neto,Second,1693
 S. Hayashi,Second,1694
 A. Maté,Second,1695
 W. Maalej,Second,1696
 D. Dell'Anna,Second,1697
 A. Kleebaum,Second,1698
 M. Goulão,Second,1699
 S. Rayadurgam,Second,1700
 H. Liu,Second,1701
 P. Burzynski,Second,1702
 F. Brokhausen,Second,1703
 O. Karras,Second,1704
 D. Dietsch,Second,1705
 J. Kang,Second,1706
 J. Ruohonen,Second,1707
 K. Beckers,Second,1708
 A. Lopez-Lorca,Second,1709
 Z. Zhong,Second,1710
 A. Hassanzadeh,Second,1711
 L. Etzlinger,Second,1712
 C. Huli,Second,1713
 A. Maedche,Second,1714
 K. Baum,Second,1715
 S. A. Scherr,Second,1716
 A. Paredes Rojas,Second,1717
 K. Wang,Second,1718
 Y. Yu,Second,1719
 T. D. Breaux,Second,1720
 W. Ke,Second,1721
 M. Mallik,Second,1722
 M. Raatikainen,Second,1723
 M. Lee,Second,1724
 D. Ki-Aries,Second,1725
 M. Salnitri,Second,1726
 S. Mavin,Second,1727
 M. Glinz,Second,1728
 A. Mahmoud,Second,1729
 M. Harman,Second,1730
 A. Hess,Second,1731
 S. L. Lim,Second,1732
 N. Sannier,Second,1733
 L. Pasquale,Second,1734
 Y. Leng,Second,1735
 R. Pulle,Second,1736
 J. Ersare,Second,1737
 M. Stade,Second,1738
 C. Gralha,Second,1739
 N. A. Day,Second,1740
 M. Vierhauser,Second,1741
 M. Daneva,Second,1742
 K. Siu,Second,1743
 N. Marko,Second,1744
 J. Cleland-Huang,Second,1745
 P. D. L. Machado,Second,1746
 A. Katayama,Second,1747
 J. Castro,Second,1748
 M. Raffi,Second,1749
 E. Tsekleves,Second,1750
 K. Holness,Second,1751
 F. Uebernickel,Second,1752
 M. Stettinger,Second,1753
 M. Conzelmann,Second,1754
 A. Dekhtyar,Second,1755
 R. Batista-Navarro,Second,1756
 S. M. D. Al Alam,Second,1757
 M. Nayebi,Second,1758
 M. Chechik,Second,1759
 M. Rahman,Second,1760
 J. H. Hayes,Second,1761
 G. Liebel,Second,1762
 R. Lutz,Second,1763
 M. Ibrahim,Second,1764
 C. Stanik,Second,1765
 P. K. Murukannaiah,Second,1766
 A. Zamansky,Second,1767
 S. Kopczyńska,Second,1768
 P. Sharma,Second,1769
 M. Diep,Second,1770
 T. Menzies,Second,1771
 P. Wilkinson,Second,1772
 K. Wnuk,Second,1773
 Y. Iimura,Second,1774
 R. A. Paldes,Second,1775
 D. M. Berry,Second,1776
 S. Conversy,Second,1777
 B. Jayaraman,Second,1778
 A. Condamines,Second,1779
 J. Hammes,Second,1780
 E. Kamsties,Second,1781
 A. Moitra,Second,1782
 M. Adedjouma,Second,1783
 J. Bhatia,Second,1784
 D. Munante,Second,1785
 G. Ruhe,Second,1786
 D. Damian,Second,1787
 T. Olsson,Second,1788
 D. M. Fernández,Second,1789
 D. Van Der Linden,Second,1790
 F. Shull,Second,1791
 D. Muñante,Second,1792
 A. Zisman,Second,1793
 A. Shymka,Second,1794
 M. Laddha,Second,1795
 Z. S. H. Abad,Second,1796
 E. Reading,Second,1797
 W. Zhao,Second,1798
 N. Condori-Fernández,Second,1799
 V. Fong,Second,1800
 G. O. Spagnolo,Second,1801
 A. Meneely,Second,1802
 N. Ajmeri,Second,1803
 P. Rempel,Second,1804
 C. H. C. Duarte,Second,1805
 M. Noaeen,Second,1806
 S. Pape,Second,1807
 R. Alkadhi,Second,1808
 E. B. Charrada,Second,1809
 M. P. Singh,Second,1810
 S. Kiesling,Second,1811
 M. Falis,Second,1812
 A. Koshoffer,Second,1813
 G. Lucassen,Second,1814
 P. Ferraioli,Second,1815
 D. Duarte,Second,1816
 T. Gallo,Second,1817
 L. Feng,Second,1818
 P. Wilksinson,Second,1819
 D. Feth,Second,1820
 M. Sabetzadeh,Second,1821
 S. Gregory,Second,1822
 A. A. Anda,Second,1823
 E. Wallmüller,Second,1824
 C. Burnay,Second,1825
 A. Beugnard,Second,1826
 I. Hadar,Second,1827
 M. W. Whalen,Second,1828
 P. Giorgini,Second,1829
 C. Brock,Second,1830
 C. Chen,Second,1831
 C. Ponsard,Second,1832
 A. V. Patil,Second,1833
 N. Chaki,Second,1834
 S. Wang,Second,1835
 B. Upreti,Second,1836
 T. Sommestad,Second,1837
 N. Cercone,Second,1838
 M. Taghavianfar,Second,1839
 A. A. Al-Subaihin,Second,1840
 R. Rabiser,Second,1841
 A. van Lamsweerde,Second,1842
 H. Nabil,Second,1843
 H. Do,Second,1844
 A. K. Kalia,Second,1845
 D. Smullen,Second,1846
 P. Mäder,Second,1847
 N. Seyff,Second,1848
 G. Antoniol,Second,1849
 N. Monaikul,Second,1850
 X. Franch,Second,1851
 G. R. Santhanam,Second,1852
 F. Bex,Second,1853
 R. Popp,Second,1854
 K. Hänninen,Second,1855
 D. Carver,Second,1856
 A. Shahri,Second,1857
 I. Jureta,Second,1858
 J. Holtmann,Second,1859
 E. Paja,Second,1860
 L. Huang,Second,1861
 J. Parsons,Second,1862
 J. Vilela,Second,1863
 H. Femmer,Second,1864
 J. B. Jørgensen,Second,1865
 P. Dueck,Second,1866
 M. Kauppinen,Second,1867
 F. Houdek,Second,1868
 A. Podelski,Second,1869
 R. Heldal,Second,1870
 T. Gorschek,Second,1871
 J. Cheng,Second,1872
 S. Ludi,Second,1873
 R. Salay,Second,1874
 A. Rifaut,Second,1875
 R. L. Rutledge,Second,1876
 F. Massacci,Second,1877
 T. Ruhroth,Second,1878
 X. Peng,Second,1879
 S. Lohar,Second,1880
 F. Schaub,Second,1881
 P. Rayson,Second,1882
 J. King,Second,1883
 J. -M. Lehker,Second,1884
 M. Takeuchi,Second,1885
 A. Rashid,Second,1886
 M. Mirakhorli,Second,1887
 G. Rossi,Second,1888
 S. A. Fricker,Second,1889
 A. Siena,Second,1890
 J. Grundy,Second,1891
 M. Pampaka,Second,1892
 I. Hammouda,Second,1893
 Yukun Su,Second,1894
 R. Chakraborty,Second,1895
 D. Throop,Second,1896
 Dongyue Mou,Second,1897
 F. Hogrebe,Second,1898
 T. Weigert,Second,1899
 S. Feja,Second,1900
 M. B. Hansen,Second,1901
 T. de Gooijer,Second,1902
 S. Ghaisas,Second,1903
 C. Alves,Second,1904
 N. Maiden,Second,1905
 W. Nunes,Second,1906
 T. de Oliveira,Second,1907
 T. Wien,Second,1908
 Y. Lu,Second,1909
 M. Nyberg,Second,1910
 R. Leite,Second,1911
 J. Eisenstein,Second,1912
 A. Rao,Second,1913
 A. I. Antòn,Second,1914
 C. Menghi,Second,1915
 N. Medvidovic,Second,1916
 J. M. Atlee,Second,1917
 N. Genon,Second,1918
 Q. Wang,Second,1919
 A. Ohsuga,Second,1920
 W. Scacchi,Second,1921
 E. Vriezekolk,Second,1922
 J. Li,Second,1923
 P. Mçder,Second,1924
 S. Reddivari,Second,1925
 J. L. de la Vara,Second,1926
 J. Kienzle,Second,1927
 D. Hauksdóttir,Second,1928
 R. Behjati,Second,1929
 S. Fuhrmann,Second,1930
 I. Widya,Second,1931
 A. Beer,Second,1932
 P. I. Musasizi,Second,1933
 G. Regev,Second,1934
 R. R. Ramnani,Second,1935
 P. Kumari,Second,1936
 M. Behrendt,Second,1937
 H. Demmou,Second,1938
 D. Mou,Second,1939
 C. Quer,Second,1940
 B. Bruegge,Second,1941
 G. Ripa,Second,1942
 A. Czauderna,Second,1943
 P. van Eck,Second,1944
 A. Mavin,Second,1945
 J. Beatty,Second,1946
 R. Wieringa,Second,1947
 D. Callele,Second,1948
 M. Borges,Second,1949
 P. Grünbacher,Second,1950
 A. De Roeck,Second,1951
 P. Sampath,Second,1952
 C. Ayala,Second,1953
 A. Koziolek,Second,1954
 A. I. Anton,Second,1955
 A. K. Bandara,Second,1956
 W. Zhang,Second,1957
 A. M. Sharifloo,Second,1958
 J. Doerr,Second,1959
 J. H. Lutz,Second,1960
 R. Jalman,Second,1961
 U. Nikula,Second,1962
 E. Braun,Second,1963
 B. Hwong,Second,1964
 F. Schneider,Second,1965
 M. Spier,Second,1966
 B. Boehm,Second,1967
 A. Vermehren,Second,1968
 O. Collell,Second,1969
 H. Zhao,Second,1970
 S. Leblanc,Second,1971
 T. Straszak,Second,1972
 Z. Chen,Second,1973
 L. Chung,Second,1974
 D. Petriu,Second,1975
 M. Whalen,Second,1976
 S. Arora,Second,1977
 A. Borgida,Second,1978
 D. Greer,Second,1979
 M. Antkiewicz,Second,1980
 O. Dekhtyar,Second,1981
 S. J. Morris,Second,1982
 Y. Kamei,Second,1983
 J. Hoenicke,Second,1984
 A. I. Antón,Second,1985
 B. Smith,Second,1986
 T. T. Tun,Second,1987
 T. Männistö,Second,1988
 S. Abrahão,Second,1989
 S. F. Arenis,Second,1990
 K. Lehner,Second,1991
 H. Kurihara,Second,1992
 R. Fahney,Second,1993
 V. Gervasi,Second,1994
 B. Yin,Second,1995
 I. Fléchais,Second,1996
 R. Chitchyan,Second,1997
 M. Khalil,Second,1998
 G. Ollmann,Second,1999
 M. Heisel,Second,2000
 V. Rogozhkin,Second,2001
 M. Mueller,Second,2002
 A. de Roeck,Second,2003
 F. Graf,Second,2004
 S. Jones,Second,2005
 L. Bass,Second,2006
 N. H. Madhavji,Second,2007
 D. C. Gause,Second,2008
 B. Chen,Second,2009
 S. A. McIlraith,Second,2010
 D. Pfahl,Second,2011
 T. Hill,Second,2012
 R. Mazo,Second,2013
 J. -P. Jacquot,Second,2014
 D. Jackson,Second,2015
 J. Kuusela,Second,2016
 S. Tilley,Second,2017
 K. Czarnecki,Second,2018
 M. -O. Reiser,Second,2019
 N. Y. David,Second,2020
 K. -S. Hielscher,Second,2021
 D. Bush,Second,2022
 A. McLucas,Second,2023
 A. Paradkar,Second,2024
 P. Heymans,Second,2025
 T. Nakatani,Second,2026
 J. Hosking,Second,2027
 E. Neufeld,Second,2028
 M. Śmiałek,Second,2029
 R. Ferrari,Second,2030
 M. Snoeck,Second,2031
 H. U. Asuncion,Second,2032
 J. Mylopoulos,Second,2033
 G. Tamburrelli,Second,2034
 B. Regnell,Second,2035
 O. Gotel,Second,2036
 R. Schuster,Second,2037
 J. Whittle,Second,2038
 A. Onabajo,Second,2039
 O. Hayard,Second,2040
 G. Sindre,Second,2041
 E. Yu,Second,2042
 C. Ebert,Second,2043
 H. Zhang,Second,2044
 J. Savolainen,Second,2045
 C. Sinz,Second,2046
 R. Bults,Second,2047
 D. Schmitz,Second,2048
 P. Jones,Second,2049
 M. Jackson,Second,2050
 H. Degen,Second,2051
 H. Heerkens,Second,2052
 P. Mader,Second,2053
 D. Diaz,Second,2054
 I. Flechais,Second,2055
 A. Hubaux,Second,2056
 S. Ghanavati,Second,2057
 C. Rolland,Second,2058
 K. Schneider,Second,2059
 K. Uno,Second,2060
 E. Dubois,Second,2061
 A. Sutcliffe,Second,2062
 S. d. Kinderen,Second,2063
 C. M. L. Werner,Second,2064
 T. A. Alspaugh,Second,2065
 L. Williams,Second,2066
 S. Easterbrook,Second,2067
 C. Duan,Second,2068
 H. Mouratidis,Second,2069
 K. Havelund,Second,2070
 K. Pohl,Second,2071
 T. Rayment,Second,2072
 M. Alexander,Second,2073
 M. Gall,Second,2074
 H. W. Nissen,Second,2075
 M. Novak,Second,2076
 S. Hori,Second,2077
 A. S. Hejmadi,Second,2078
 M. Komssi,Second,2079
 K. A. Hicks,Second,2080
 C. Salzberg,Second,2081
 P. Lynch,Second,2082
 A. Hickey,Second,2083
 L. Constantine,Second,2084
 J. Pardillo,Second,2085
 P. Heim,Second,2086
 M. Smialek,Second,2087
 H. Kaindl,Second,2088
